Cultivars;Country;Source;Classification;Breeding_Program;UDAp_415;ssrPaCITA7;UDAp_420;ssrPaCITA10;ssrPaCITA23;ssrPaCITA27;pchgms3;UDAp_410;UDP98_409;UDP98_412
Ginesta;Spain;Landrace;Landrace;Traditional;149/149;194/194;171/173;172/172;150/150;265/265;195/195;147/147;137/153;87/87
Palabras;Spain;Landrace;Landrace;Traditional;149/149;194/194;171/173;172/172;150/150;265/265;195/195;125/147;137/153;87/87
Currot;Spain;Landrace;Landrace;Traditional;149/149;194/194;173/173;159/172;150/156;228/265;195/195;121/147;153/161;87/87
Dama rosa;Spain;Breeding program;Commercial release;IVIA;149/161;194/212;173/173;172/180;142/150;253/265;195/197;125/147;133/137;87/108
Moniquí (1006);Spain;Landrace;Landrace;Traditional;149/155;194/194;171/173;172/178;140/150;265/265;195/195;125/129;133/137;106/114
Fabara;Spain;Landrace;Landrace;Traditional;149/155;194/194;171/173;172/178;140/150;265/265;195/195;125/129;133/137;106/114
Moniquí (2113);Spain;Landrace;Landrace;Traditional;149/155;194/194;171/173;172/178;140/150;265/265;195/195;125/129;133/137;106/114
Muñoz;Spain;Landrace;Landrace;Traditional;149/155;194/194;171/173;172/178;140/150;265/265;195/195;125/129;133/137;106/114
Peñaflor 01;Spain;Landrace;Landrace;Traditional;149/155;194/194;171/173;172/178;140/150;265/265;195/195;125/129;133/137;106/114
Peñaflor 02;Spain;Landrace;Landrace;Traditional;149/161;189/194;171/181;172/178;140/150;265/265;195/195;125/125;133/137;114/118
Pepito del Rubio;Spain;Landrace;Landrace;Traditional;149/155;194/194;171/181;172/178;150/150;265/265;195/197;125/127;133/137;87/114
Cebas 57 01;Spain;Breeding program;Commercial release;CEBAS-CSIC;149/161;191/194;173/173;159/176;147/150;228/265;195/197;125/129;153/161;87/87
Cebas 57 02;Spain;Breeding program;Commercial release;CEBAS-CSIC;149/161;191/194;173/173;159/176;147/150;228/265;195/197;125/129;153/161;87/87
Murciana;Spain;Breeding program;Commercial release;CEBAS-CSIC;149/161;191/194;173/173;159/176;147/150;265/265;195/197;125/147;141/161;87/106
Valorange;Spain;Breeding program;Commercial release;CEBAS-CSIC;149/161;191/194;158/173;159/176;147/150;228/253;195/197;125/147;141/159;87/106
Rojo de Carlet;Spain;Landrace;Landrace;Traditional;149/155;194/212;171/173;159/178;140/156;228/265;195/197;121/125;133/161;87/87
Corbató;Spain;Landrace;Landrace;Traditional;149/155;194/212;171/173;159/178;140/156;228/265;195/197;121/125;137/153;87/87
Mitger;Spain;Landrace;Landrace;Traditional;155/155;194/212;171/173;159/159;156/156;228/265;195/197;121/121;161/161;87/87
Tadeo;Spain;Landrace;Landrace;Traditional;155/161;194/194;171/171;159/172;156/156;228/265;195/195;121/129;133/161;87/106
Cristalí;Spain;Landrace;Landrace;Traditional;149/155;194/194;173/181;172/172;140/144;253/253;195/200;121/127;155/161;87/106
Ouardi;Tunisia;Breeding program;Commercial release;INRAT;149/149;194/196;158/173;159/178;140/156;228/265;197/200;121/147;133/137;87/87
Beliana;France;Landrace;Landrace;Traditional;149/149;194/196;158/181;159/178;140/156;253/265;197/200;127/147;133/153;87/87
Charisma;South Africa;Breeding program;Commercial release;ARC Infruitec-Nietvoorbij;149/149;194/212;158/166;159/178;142/156;253/256;190/200;125/147;133/133;87/87
Soledane;France;Breeding program;Commercial release;INRAE/Centrex;161/161;206/212;173/179;159/164;144/150;251/265;197/197;127/129;133/137;87/87
A252;Unknown;Breeding program;Commercial release;Unknown;161/161;206/212;173/179;159/164;144/150;251/265;197/197;127/129;133/137;87/87
Lito;Greece;Landrace;Landrace;Traditional;161/161;194/212;173/179;168/172;144/147;265/265;197/197;127/129;133/141;87/106
Précoce de Tirynthos;Greece;Landrace;Landrace;Traditional;161/167;194/206;179/181;164/172;144/144;265/265;197/200;129/129;133/133;87/87
Ninfa;Italy;Breeding program;Commercial release;Daniele Bassi (Università di Bologna);149/167;196/206;158/179;159/172;144/156;265/265;197/200;121/129;133/133;87/87
Aprix 33;Spain;Breeding program;Commercial release;Proseplan;161/161;206/214;179/181;159/176;140/150;251/265;187/197;121/129;137/163;87/106
Mirlo Rojo;Spain;Breeding program;Commercial release;CEBAS-CSIC;149/161;194/214;173/181;170/176;144/144;265/265;187/197;129/147;161/161;87/87
B002;Spain;Breeding program;Recent release;CEBAS-CSIC;149/161;194/214;173/181;170/176;144/144;253/265;187/197;129/147;153/161;87/87
Primorosa;Spain;Breeding program;Commercial release;CEBAS-CSIC;149/161;194/214;173/181;170/176;144/144;265/265;187/200;127/129;153/161;87/87
Mirlo Blanco;Spain;Breeding program;Commercial release;CEBAS-CSIC;155/161;194/214;173/181;170/176;144/156;253/265;187/200;127/129;133/153;87/87
Búlida;Spain;Landrace;Landrace;Traditional;149/155;194/194;181/181;159/172;144/144;265/265;197/200;127/147;133/161;87/87
Veecot;Canada;Landrace;Landrace;Traditional;155/161;189/194;158/173;176/180;144/146;251/265;190/195;153/153;133/163;106/114
Stella;USA;Landrace;Landrace;Traditional;155/161;189/189;158/158;172/176;146/154;251/251;195/195;127/127;133/137;106/106
Harval;Canada;Breeding program;Commercial release;Harrow Research Center;149/155;194/218;173/173;176/176;146/147;251/251;180/195;129/129;133/163;108/114
Priabel;France;Breeding program;Commercial release;Marie-France BOIS (IPS);159/161;212/214;158/181;176/176;144/147;253/265;187/197;125/141;141/141;108/108
Medaga;France;Breeding program;Commercial release;Marie-France BOIS (IPS);161/161;191/212;158/166;176/176;144/144;265/265;197/197;125/153;133/141;108/108
IPS16121;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/161;206/206;158/166;176/176;144/147;253/265;197/197;125/129;141/161;108/108
Farbela;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/161;206/212;158/158;176/178;144/150;253/265;197/197;125/129;133/141;108/108
Fardao;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/155;206/212;158/166;176/178;140/144;253/265;197/197;125/153;133/141;106/108
Fartoli;France;Breeding program;Commercial release;Marie-France BOIS (IPS);161/161;212/212;158/181;172/176;147/150;265/265;197/197;125/147;133/141;106/108
Farclo;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/161;212/212;158/181;172/176;144/150;265/265;197/197;125/153;133/141;106/108
Farlis;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/161;191/212;158/181;172/176;147/150;265/265;197/197;129/153;141/161;106/108
Farhial;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/171;212/212;158/181;168/178;142/150;265/265;197/197;125/153;133/133;106/108
Farfia;France;Breeding program;Commercial release;Marie-France BOIS (IPS);161/171;206/212;158/181;168/178;142/150;265/265;197/197;125/153;133/141;106/108
Farbaly;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/155;212/212;166/181;172/176;142/150;253/265;197/197;125/153;133/161;106/108
C010;France;Breeding program;Recent release;COT International;155/155;212/212;173/182;172/176;142/150;253/265;190/197;125/141;133/161;108/108
Swired;Switzerland;Breeding program;Commercial release;Regibus (COT International);155/155;212/224;166/181;176/176;147/150;256/265;197/197;125/125;133/161;108/108
Playa Cot;France;Breeding program;Commercial release;COT International;155/155;212/224;166/181;176/176;147/150;256/265;197/197;125/125;133/133;108/108
Oscar;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/155;206/212;159/166;172/176;147/150;265/265;197/197;125/141;133/133;108/108
Mediva;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/155;206/212;173/181;168/176;142/142;265/265;190/197;125/125;133/133;106/108
Farius;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/155;206/212;166/173;176/178;142/144;256/265;190/197;125/125;133/133;106/108
C014;France;Breeding program;Recent release;COT International;161/161;212/224;166/173;172/176;140/147;265/265;190/197;125/141;133/141;108/114
C012;France;Breeding program;Recent release;COT International;155/161;206/224;166/166;172/176;140/142;265/265;197/197;125/141;133/161;108/114
C013;France;Breeding program;Recent release;COT International;161/161;212/212;173/181;176/178;147/150;228/265;190/197;125/125;133/161;108/108
C011;France;Breeding program;Recent release;COT International;161/161;212/224;173/181;172/176;140/147;228/265;197/197;125/125;133/141;108/108
Almater;Spain;Breeding program;Commercial release;Frutaria;161/161;212/212;173/173;176/180;147/156;253/265;187/197;125/127;133/161;108/108
Monster Cot;USA;Breeding program;Commercial release;SMS UNLIMITED (COT International);161/167;191/212;173/181;176/180;142/147;265/265;190/197;127/129;141/161;108/108
Lilly Cot;USA;Breeding program;Commercial release;SDR FRUIT LLC;155/161;191/212;173/181;174/176;142/147;256/265;190/197;125/127;141/161;106/108
C005;France;Breeding program;Recent release;COT International;161/161;191/224;158/181;176/180;156/156;265/265;197/197;125/141;141/161;108/108
Cooper Cot;France;Breeding program;Commercial release;COT International;161/171;191/194;158/181;176/180;142/156;228/265;190/197;125/125;133/161;87/108
Flopria;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/161;191/206;166/173;176/178;146/147;253/265;197/197;125/141;133/155;106/108
Aprix 9;Spain;Breeding program;Commercial release;Proseplan;161/161;191/206;158/173;176/180;147/150;253/265;197/197;121/125;155/161;106/108
Farely;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/161;191/206;158/181;176/178;140/147;253/253;197/197;125/125;133/161;108/108
Apribang;France;Breeding program;Commercial release;Agro Selection Fruits;149/161;191/212;158/181;176/178;140/147;253/265;197/197;125/141;133/161;106/108
Sherpa;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;161/171;191/206;158/181;176/178;147/150;253/265;197/197;125/129;133/149;106/108
Faralia;France;Breeding program;Commercial release;Marie-France BOIS (IPS);161/171;206/214;158/181;176/178;147/150;265/265;187/197;125/129;133/161;106/108
Sunny Cot;USA;Breeding program;Commercial release;SDR FRUIT LLC;161/171;206/212;158/166;150/176;146/147;253/253;197/197;125/129;155/161;106/108
T006;Spain;Breeding program;Recent release;Tulare;161/171;212/214;158/173;168/176;147/150;253/253;197/197;125/127;155/161;106/108
Memphis;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/171;212/212;158/166;172/176;140/147;253/253;197/197;125/141;133/161;108/108
Kioto;France;Breeding program;Commercial release;Escande;155/171;212/212;158/181;176/178;142/147;253/265;197/197;141/141;133/161;106/108
Ninja;France;Breeding program;Commercial release;Escande;155/171;212/212;166/181;176/176;147/147;253/265;190/197;125/141;133/149;106/108
Alb-Rojo;Spain;Breeding program;Commercial release;Tulare;155/171;212/212;158/173;176/178;147/147;253/265;190/197;125/129;133/149;106/108
Milord;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/171;191/212;158/181;176/178;147/150;253/253;190/197;125/129;133/149;106/108
Robada;USA;Breeding program;Commercial release;USDA-Fruit Genetics and Breeding Research Unit of Fresno;161/171;191/212;158/181;155/176;147/147;253/253;197/197;129/141;149/161;106/108
S001;France;Breeding program;Recent release;Agro Selection Fruits;161/171;191/212;158/181;155/176;147/147;253/265;197/197;129/141;141/149;106/118
Aprisweet;France;Breeding program;Commercial release;Agro Selection Fruits;161/171;191/212;158/181;176/178;147/150;253/265;197/197;141/147;149/163;108/118
Pinkcot;France;Breeding program;Commercial release;Escande;155/167;191/212;166/173;174/176;142/147;256/265;190/197;125/141;133/133;108/108
Perle Cot;USA;Breeding program;Commercial release;SDR FRUIT LLC;155/161;191/212;173/181;174/176;142/147;256/265;190/197;125/141;133/133;108/108
Flodea;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;161/167;191/212;158/173;174/176;147/147;256/265;197/197;125/125;133/133;106/108
Rambo;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;161/171;191/224;158/173;174/180;147/148;253/265;197/197;125/141;133/133;87/108
Kosmos;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;161/171;191/224;158/173;176/180;147/148;265/265;197/197;125/141;133/133;87/108
Tsunami;France;Breeding program;Commercial release;Escande;161/167;191/224;158/173;176/176;147/147;265/265;197/197;127/141;133/133;87/108
Tornado;France;Breeding program;Commercial release;Escande;161/161;212/224;158/181;176/176;147/147;253/253;197/197;125/141;133/149;108/108
Spring Blush;France;Breeding program;Commercial release;Escande;161/161;212/224;158/158;155/176;147/147;253/265;197/197;125/129;133/149;87/108
Samourai;France;Breeding program;Commercial release;Escande;155/161;212/212;158/173;176/176;147/147;253/256;190/197;125/141;133/133;87/108
F003;Spain;Breeding program;Recent release;Frutaria;155/161;212/214;158/173;176/176;147/147;253/253;187/197;125/141;133/161;87/108
Colorado 01;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/161;191/212;158/173;172/176;142/147;253/265;195/197;125/141;133/149;87/108
Colorado 02;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/161;191/212;158/173;172/176;142/147;253/265;195/197;125/141;133/149;87/108
Lido;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/161;191/212;158/173;176/176;142/147;265/265;197/197;125/141;133/161;106/108
Fuego;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;167/171;191/191;158/181;174/176;144/147;256/298;197/197;125/125;161/161;108/114
C009;France;Breeding program;Recent release;COT International;161/167;191/224;173/181;168/176;147/147;253/265;197/197;125/129;137/161;108/114
Cheyenne;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/161;194/224;171/173;174/176;144/147;265/298;195/197;125/129;141/161;106/108
T005;Spain;Breeding program;Recent release;Tulare;155/161;194/214;158/173;172/176;144/150;265/265;187/195;125/125;133/141;106/108
Micaelo;Spain;Breeding program;Commercial release;CEBAS-CSIC;161/161;214/214;171/173;176/178;140/147;253/265;187/190;125/127;133/161;106/108
Orangered;USA;Breeding program;Commercial release;New Jersey Agricultural Experiment Station;161/161;191/214;158/173;159/178;144/147;253/265;187/197;125/129;NA/NA;106/108
B003;Spain;Breeding program;Recent release;CEBAS-CSIC;155/161;194/214;171/173;176/178;140/144;253/265;187/197;125/127;133/161;106/108
T012;Spain;Breeding program;Recent release;Tulare;155/161;191/214;158/171;178/178;147/150;265/265;187/197;125/127;137/161;106/106
C006;France;Breeding program;Recent release;COT International;161/161;212/214;166/173;176/180;142/147;256/265;187/197;125/141;133/141;106/108
Feria Cot;France;Breeding program;Commercial release;COT International;161/161;212/214;158/166;176/180;142/147;265/265;187/190;125/127;133/141;106/108
C008;France;Breeding program;Recent release;COT International;159/161;212/214;158/173;168/176;146/147;253/265;187/190;125/125;133/141;106/108
Wonder Cot;USA;Breeding program;Commercial release;SDR FRUIT LLC;161/161;191/214;158/173;176/180;147/156;265/265;187/197;125/127;141/161;106/108
Primidi;France;Breeding program;Commercial release;Newcot S.A.S. (IPS);140/161;206/214;158/173;176/180;147/156;265/265;187/197;125/129;141/141;106/106
Mediabel;France;Breeding program;Commercial release;Marie-France BOIS (IPS);161/161;206/214;173/173;176/178;146/147;253/265;187/197;125/129;141/155;106/106
Medflo;France;Breeding program;Commercial release;Newcot S.A.S. (IPS);161/161;206/214;158/173;176/180;147/147;253/265;187/197;125/125;141/161;106/106
Maya Cot;France;Breeding program;Commercial release;COT International;149/161;191/194;158/173;159/176;147/156;265/265;187/197;125/127;133/141;87/106
T007;Spain;Breeding program;Recent release;Tulare;149/161;196/214;158/158;159/176;147/156;265/265;187/197;121/125;133/141;87/106
F006;Spain;Breeding program;Recent release;Frutaria;161/161;191/214;158/181;176/176;142/147;265/265;187/197;125/129;149/161;87/108
F005;Spain;Breeding program;Recent release;Frutaria;161/161;191/214;158/173;176/180;147/147;265/265;187/197;129/141;133/161;87/108
Cebas Red;Spain;Breeding program;Commercial release;CEBAS-CSIC;161/161;212/214;158/173;176/176;144/147;253/265;187/195;129/141;133/161;87/108
Primaya;France;Breeding program;Commercial release;Marie-France BOIS (IPS);155/161;206/214;173/181;176/180;142/147;253/265;187/197;129/141;149/161;87/106
C001;France;Breeding program;Recent release;COT International;155/161;212/214;173/173;172/176;142/156;265/265;187/195;127/141;133/141;87/106
C003;France;Breeding program;Recent release;COT International;155/161;214/224;173/173;172/180;142/156;265/265;187/197;125/141;133/161;87/106
C002;France;Breeding program;Recent release;COT International;155/161;214/224;158/173;172/176;142/147;253/265;187/197;127/141;133/161;87/106
C007;France;Breeding program;Recent release;COT International;155/171;224/224;173/181;172/176;142/156;265/265;197/197;141/141;133/161;87/87
F004;Spain;Breeding program;Recent release;Frutaria;155/161;212/214;158/158;172/176;142/147;253/253;187/195;129/141;133/133;108/108
F002;Spain;Breeding program;Recent release;Frutaria;161/161;212/214;158/173;176/180;142/147;253/253;187/195;125/141;133/133;108/108
JNP;Unknown;Breeding program;Commercial release;Unknown;161/161;194/214;158/181;176/180;147/156;253/253;187/190;129/141;133/161;108/108
Almabar;Spain;Breeding program;Commercial release;Frutaria;161/161;194/214;158/181;176/180;147/156;253/253;187/190;129/141;133/161;108/108
T001;Spain;Breeding program;Recent release;Tulare;155/161;191/214;158/173;176/176;142/156;253/253;187/197;141/141;133/161;87/108
Alba;Spain;Breeding program;Commercial release;Unknown;149/161;196/214;173/181;159/176;147/156;253/253;187/197;125/127;133/161;87/108
T003;Spain;Breeding program;Recent release;Tulare;159/161;212/214;173/181;174/176;147/156;253/253;187/197;127/129;133/161;108/108
T004;Spain;Breeding program;Recent release;Tulare;161/161;191/194;173/173;174/176;147/156;253/253;190/197;121/129;133/141;108/108
Flash Cot;USA;Breeding program;Commercial release;SMS UNLIMITED (COT International);161/161;212/214;171/181;155/180;147/147;253/256;187/197;125/141;133/149;106/108
Stark Early Orange;USA;Landrace;Landrace;Traditional;159/161;191/212;173/173;168/176;144/147;251/265;197/197;121/127;137/141;106/108
Hargrand;Canada;Breeding program;Commercial release;Harrow Research Center;159/161;189/212;173/181;176/180;142/144;265/265;197/197;127/141;141/163;108/114
Harcot;Canada;Breeding program;Commercial release;Harrow Research Center;155/159;191/212;166/181;159/168;138/142;228/265;197/197;141/153;133/141;108/110
T002;Spain;Breeding program;Recent release;Tulare;161/161;212/214;158/173;174/176;147/156;253/256;187/197;125/141;133/161;106/114
T011;Spain;Breeding program;Recent release;Tulare;161/161;212/214;158/173;174/176;147/156;253/256;187/197;125/141;133/161;106/114
T010;Spain;Breeding program;Recent release;Tulare;161/171;212/214;158/173;174/176;144/144;253/256;187/197;125/141;133/141;106/114
F001;Spain;Breeding program;Recent release;Frutaria;161/171;214/224;158/173;174/176;144/156;256/265;187/197;125/141;133/161;108/114
Palsteyn;South Africa;Breeding program;Commercial release;ARC Infruitec-Nietvoorbij;161/171;212/224;166/173;172/174;144/156;256/256;195/197;141/141;133/133;114/114
Lorna;USA;Breeding program;Commercial release;USDA-Fruit Genetics and Breeding Research Unit of Fresno;161/171;212/224;173/173;174/174;144/156;256/256;197/197;141/141;133/133;114/114
Almadulce;Spain;Breeding program;Commercial release;Frutaria;161/173;191/212;173/173;172/178;144/144;253/256;190/197;125/129;133/141;106/108
Justo Cot;France;Breeding program;Commercial release;COT International;161/161;212/212;173/181;155/178;140/146;253/267;190/197;125/129;137/161;114/118
Sun Glo;USA;Landrace;Landrace;Traditional;161/161;212/212;173/181;178/178;146/150;253/265;197/197;125/127;133/137;106/114
Canino;Spain;Landrace;Landrace;Traditional;149/161;194/212;173/181;178/178;140/150;228/265;197/200;125/147;137/153;87/114
Goldrich 01;USA;Breeding program;Commercial release;USDA ARS (COT International);161/171;206/212;173/181;178/180;142/146;253/256;197/197;125/125;133/137;108/114
Goldrich 02;USA;Breeding program;Commercial release;USDA ARS (COT International);161/171;206/212;173/181;178/180;142/146;253/256;197/197;125/125;133/137;108/114
Sweet Cot;USA;Breeding program;Commercial release;Washington State University (COT International);161/171;206/212;173/181;178/180;142/150;256/265;197/197;125/125;133/141;108/114
A161;Unknown;Breeding program;Commercial release;Unknown;161/171;206/212;173/181;178/180;142/150;256/265;197/197;125/125;133/141;108/114
Sandy cot;France;Breeding program;Commercial release;COT International;161/161;191/212;181/181;176/180;142/146;253/265;197/197;125/125;133/161;108/114
Dama taronja;Spain;Breeding program;Commercial release;IVIA;155/171;212/212;171/181;178/180;146/150;256/265;190/197;125/125;133/133;108/108
Rojo Pasión;Spain;Breeding program;Commercial release;CEBAS-CSIC;155/171;194/206;173/181;172/178;142/150;256/265;195/197;125/125;133/137;87/108
Big Red;France;Breeding program;Commercial release;Escande;155/171;194/206;166/181;178/180;140/142;256/265;190/197;125/125;133/133;108/114
C004;France;Breeding program;Recent release;COT International;155/159;212/212;173/173;172/176;142/150;253/265;190/195;127/141;133/137;87/114
Holly Cot;France;Breeding program;Commercial release;COT International;159/171;212/224;171/173;172/176;142/147;253/253;190/197;125/141;133/137;87/114
Magic Cot;USA;Breeding program;Commercial release;SDR FRUIT LLC;159/161;212/224;171/173;168/176;147/150;253/267;190/197;125/127;137/141;108/114
Goldstrike;USA;Breeding program;Commercial release;Washington State University (COT International);159/171;212/212;166/173;168/178;142/150;253/253;190/197;125/127;133/155;108/108
A159;Unknown;Breeding program;Commercial release;Unknown;159/171;212/212;166/173;168/178;142/150;253/253;190/197;125/127;133/155;108/108
Tom Cot 01;USA;Breeding program;Commercial release;Washington State University (COT International);159/171;212/212;166/173;168/178;142/150;253/253;190/197;125/125;155/155;106/108
Goldbar;USA;Breeding program;Commercial release;Washington State University (COT International);159/171;212/212;166/173;168/178;142/150;253/253;190/197;125/127;141/161;106/108
Tilton;USA;Landrace;Landrace;Traditional;155/161;189/194;166/181;178/178;140/150;228/265;190/197;125/127;133/133;87/114
AC1;USA;Breeding program;Commercial release;SDR FRUIT LLC;155/159;194/212;166/171;168/178;140/142;253/265;190/195;125/127;133/133;108/114
Pacha;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/171;212/224;166/173;155/172;142/147;265/265;190/195;125/129;133/133;87/106
Goldensweet;USA;Breeding program;Commercial release;L_Bradford and N_Bradford (Le Grand, CA);155/173;194/212;166/173;150/172;144/150;256/265;190/190;125/127;133/133;87/106
T009;Spain;Breeding program;Recent release;Tulare;161/161;212/212;166/173;178/180;140/142;253/265;190/197;125/147;133/133;106/108
T008;Spain;Breeding program;Recent release;Tulare;161/171;212/212;171/173;168/172;140/142;265/265;190/197;141/147;133/133;108/114
Katy;USA;Breeding program;Commercial release;Zaiger Genetics;155/171;212/212;171/173;180/180;142/150;265/265;190/195;125/141;133/133;87/108
Castelbrite;Italy;Landrace;Landrace;Traditional;161/171;206/212;171/173;178/180;142/142;265/265;195/197;141/141;133/133;87/87
Mikado 01;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/161;212/212;158/181;172/178;142/147;253/256;190/195;141/141;133/133;87/87
Mikado 02;Spain;Breeding program;Commercial release;Tulare;155/161;212/212;158/181;172/178;142/147;253/256;190/195;141/141;133/133;87/87
Mogador;Spain;Breeding program;Commercial release;PBS Producción Vegetal SL;155/161;212/212;173/173;176/180;147/148;253/256;190/195;125/141;133/149;87/87
S002;France;Breeding program;Recent release;Agro Selection Fruits;159/161;206/212;173/181;150/176;147/147;253/253;190/197;125/141;149/155;106/106
Aprix 116;Spain;Breeding program;Commercial release;Proseplan;149/159;191/194;158/181;155/176;140/147;253/253;190/197;125/125;155/161;106/106
Tom Cot 02;USA;Breeding program;Commercial release;Washington State University (COT International);159/161;194/206;166/173;150/178;146/147;228/253;190/197;125/125;155/155;106/108
Flavor Cot;USA;Breeding program;Commercial release;Washington State University (COT International);159/161;194/206;166/181;150/178;146/147;253/265;190/197;125/125;133/155;106/108
Apriqueen;France;Breeding program;Commercial release;Agro Selection Fruits;159/171;191/194;158/173;155/178;146/147;228/253;190/197;125/129;149/155;106/108
